,Address Sender,Address Receiver,Transaction_value
0,87947,3352994,50.0
1,87947,5410240,11.0
2,87947,412501,31.0
3,412501,1016031,10.0
4,5410240,2623981,29.0
5,87947,2816187,11.0
6,1016031,2605550,28.0
7,3188739,3407422,2.0
8,3188739,4896068,2.0
9,3407422,4896068,34.0
10,4896068,3407422,49.0
11,861672,135694,24.0
12,2310935,2889953,1.01
13,2310935,4468229,24.01
14,2310935,80958,50.96
15,2310935,5960055,1.01
16,2310935,3363101,24.01
17,2310935,2320813,16.0
18,2310935,2320813,24.01
19,2310935,2310935,282.93
20,2310935,2310935,56.93
21,2310935,2310935,132.91
22,4694605,3444683,150.0
23,1455788,6285092,500.0
24,521300,4779039,275.0
25,515657,907713,500.0
26,5014662,3991927,300.0
27,3991927,2005656,500.0
28,1288654,2005656,1000.0
29,2920752,2005656,150.0
30,971069,2005656,600.0
31,6120650,4793002,100.0
32,4349631,4367309,51.43
33,5426687,137561,25.01
34,137561,2461960,49.98
35,3622026,1260884,98.96000000000001
36,1260884,5182546,0.01
37,5551245,3015681,0.01
38,2203128,4660216,49.96
39,5000424,6420961,49.95
40,3622026,3015681,24.0
41,3418876,5832575,49.94
42,44045,6254339,84.47
43,6254339,1764184,64.4
44,4885575,4199636,35.06
45,1764184,282863,48.41
46,1764184,135694,52.01
47,282863,135694,32.93
48,2897287,2897287,1.0
49,5751459,2897287,31.93
50,2897287,3800784,32.91
51,1364711,135694,80.75999999999999
52,1364711,135694,30.99
53,3800784,3074880,19.01
54,3074880,3679708,49.98
55,3679708,4073864,800.0
56,4073864,3569812,150.0
57,3569812,2934302,14548.0
58,3569812,2934302,13698.0
59,3569812,2934302,13500.0
60,3569812,2934302,13700.0
61,3569812,2934302,10850.04
62,3569812,2934302,9700.0
63,3569812,2934302,250.0
64,3918858,5602751,130.0
65,2934302,4712356,1500.0
66,4712356,3791257,49.67
67,5751459,5682711,10000.53
68,1898055,3290995,150.0
69,5655663,4339610,798.0
70,3290995,975446,2400.0
71,5655663,5428411,347.0
72,4339610,2464975,250.0
73,5655663,4339610,1437.0
